# Expected alphas from 3x3 to 100x100 bases
# Calulated using 1000 single digit integer matrices
# Using the test alpha values from 0.35 to 0.95 in 0.05 step increments

dim	:	alpha
3	:	0.354304
4	:	0.358308
5	:	0.363163
6	:	0.374675
7	:	0.380831
8	:	0.394244
9	:	0.412362
10	:	0.419419
11	:	0.44019
12	:	0.456757
13	:	0.479179
14	:	0.493443
15	:	0.501652
16	:	0.527778
17	:	0.542342
18	:	0.54975
19	:	0.559109
20	:	0.573924
21	:	0.577828
22	:	0.570921
23	:	0.57042
24	:	0.56016
25	:	0.561612
26	:	0.553854
27	:	0.546547
28	:	0.536386
29	:	0.53033
30	:	0.486937
31	:	0.477077
32	:	0.474224
33	:	0.461962
34	:	0.44965
35	:	0.432082
36	:	0.422573
37	:	0.433884
38	:	0.424424
39	:	0.416867
40	:	0.421271
41	:	0.408709
42	:	0.415966
43	:	0.414464
44	:	0.400701
45	:	0.404054
46	:	0.417568
47	:	0.408759
48	:	0.398098
49	:	0.401702
50	:	0.405205
51	:	0.40991
52	:	0.405906
53	:	0.411161
54	:	0.395646
55	:	0.394895
56	:	0.397898
57	:	0.396396
58	:	0.395596
59	:	0.393994
60	:	0.388188
61	:	0.395345
62	:	0.390541
63	:	0.391091
64	:	0.38954
65	:	0.395696
66	:	0.384735
67	:	0.385686
68	:	0.394494
69	:	0.39039
70	:	0.395646
71	:	0.386486
72	:	0.394094
73	:	0.386136
74	:	0.389289
75	:	0.383834
76	:	0.386086
77	:	0.384935
78	:	0.387988
79	:	0.383033
80	:	0.385185
81	:	0.385886
82	:	0.393243
83	:	0.381632
84	:	0.38018
85	:	0.384484
86	:	0.378779
87	:	0.377578
88	:	0.380781
89	:	0.378879
90	:	0.377377
91	:	0.378328
92	:	0.377978
93	:	0.382633
94	:	0.377477
95	:	0.37988
96	:	0.380581
97	:	0.381682
98	:	0.38003
99	:	0.377377
100	:	0.373724
